param_name,param_value,trial_id,initial_mean,initial_var,llm_final_mean,llm_final_var,degroot_predicted_mean,degroot_predicted_var,mean_deviation,var_deviation,llm_converged,degroot_converged
p,0.2,0,4.950617283950617,4.145709495503734,6.703703703703703,4.603566529492454,4.950617283950617,0.0,1.7530864197530862,4.603566529492454,False,True
p,0.2,1,4.950617283950617,4.145709495503734,7.382716049382716,1.4955037341868618,4.950617283950617,0.0,2.432098765432099,1.4955037341868618,False,True
p,0.2,2,4.950617283950617,4.145709495503734,6.580246913580247,1.5768937661941778,4.950617283950617,0.0,1.6296296296296298,1.5768937661941778,False,True
p,0.5,0,4.950617283950617,4.145709495503734,7.802469135802469,1.590611187319006,4.950617283950617,0.0,2.851851851851852,1.590611187319006,False,True
p,0.5,1,4.950617283950617,4.145709495503734,7.271604938271605,3.086724584666971,4.950617283950617,0.0,2.320987654320988,3.086724584666971,False,True
p,0.5,2,4.950617283950617,4.145709495503734,7.012345679012346,5.147995732357873,4.950617283950617,0.0,2.0617283950617287,5.147995732357873,False,True
p,0.7,0,4.950617283950617,4.145709495503734,8.209876543209877,1.8448407254991617,4.950617283950617,0.0,3.2592592592592595,1.8448407254991617,False,True
p,0.7,1,4.950617283950617,4.145709495503734,7.679012345679013,1.9216582837982012,4.950617283950617,0.0,2.7283950617283956,1.9216582837982012,False,True
p,0.7,2,4.950617283950617,4.145709495503734,7.012345679012346,3.2220698064319464,4.950617283950617,0.0,2.0617283950617287,3.2220698064319464,False,True
p,1.0,0,4.950617283950617,4.145709495503734,7.172839506172839,6.093583295229386,4.950617283950617,0.0,2.2222222222222223,6.093583295229386,False,True
p,1.0,1,4.950617283950617,4.145709495503734,6.234567901234568,9.364730986130162,4.950617283950617,0.0,1.283950617283951,9.364730986130162,False,True
p,1.0,2,4.950617283950617,4.145709495503734,6.382716049382716,8.18686175887822,4.950617283950617,0.0,1.432098765432099,8.18686175887822,False,True
