param_name,param_value,trial_id,initial_mean,initial_var,llm_final_mean,llm_final_var,degroot_predicted_mean,degroot_predicted_var,mean_deviation,var_deviation,llm_converged,degroot_converged
radius,0.25,0,4.902439024390244,4.283164782867341,7.951219512195122,1.656157049375372,4.902439024390244,0.0,3.048780487804878,1.656157049375372,False,True
radius,0.25,1,4.902439024390244,4.283164782867341,6.804878048780488,2.498512790005949,4.902439024390244,0.0,1.9024390243902438,2.498512790005949,False,True
radius,0.25,2,4.902439024390244,4.283164782867341,7.487804878048781,2.201070791195717,4.902439024390244,0.0,2.585365853658537,2.201070791195717,False,True
radius,0.5,0,4.902439024390244,4.283164782867341,7.2926829268292686,2.646044021415824,4.902439024390244,0.0,2.3902439024390247,2.646044021415824,False,True
radius,0.5,1,4.902439024390244,4.283164782867341,7.7560975609756095,2.330755502676978,4.902439024390244,0.0,2.8536585365853657,2.330755502676978,False,True
radius,0.5,2,4.902439024390244,4.283164782867341,7.658536585365853,4.078524687685901,4.902439024390244,0.0,2.7560975609756095,4.078524687685901,False,True
radius,1.0,0,4.902439024390244,4.283164782867341,7.414634146341464,3.071980963712076,4.902439024390244,0.0,2.51219512195122,3.071980963712076,False,True
radius,1.0,1,4.902439024390244,4.283164782867341,7.829268292682927,2.678167757287329,4.902439024390244,0.0,2.926829268292683,2.678167757287329,False,True
radius,1.0,2,4.902439024390244,4.283164782867341,8.121951219512194,3.960737656157049,4.902439024390244,0.0,3.2195121951219505,3.960737656157049,False,True
radius,2.0,0,4.902439024390244,4.283164782867341,8.292682926829269,1.865556216537775,4.902439024390244,0.0,3.3902439024390247,1.865556216537775,False,True
radius,2.0,1,4.902439024390244,4.283164782867341,7.7073170731707314,2.49970255800119,4.902439024390244,0.0,2.8048780487804876,2.49970255800119,False,True
radius,2.0,2,4.902439024390244,4.283164782867341,7.073170731707317,2.5068411659726353,4.902439024390244,0.0,2.1707317073170733,2.5068411659726353,False,True
radius,4.0,0,4.902439024390244,4.283164782867341,2.024390243902439,6.121356335514574,4.902439024390244,0.0,2.8780487804878048,6.121356335514574,False,True
radius,4.0,1,4.902439024390244,4.283164782867341,7.2439024390243905,6.3795359904818545,4.902439024390244,0.0,2.3414634146341466,6.3795359904818545,False,True
radius,4.0,2,4.902439024390244,4.283164782867341,7.7317073170731705,1.4646044021415823,4.902439024390244,0.0,2.8292682926829267,1.4646044021415823,False,True
radius,8.0,0,4.902439024390244,4.283164782867341,6.878048780487805,5.472932778108269,4.902439024390244,0.0,1.975609756097561,5.472932778108269,False,True
radius,8.0,1,4.902439024390244,4.283164782867341,7.951219512195122,1.5098155859607378,4.902439024390244,0.0,3.048780487804878,1.5098155859607378,False,True
radius,8.0,2,4.902439024390244,4.283164782867341,7.878048780487805,2.1558596073765615,4.902439024390244,0.0,2.975609756097561,2.1558596073765615,False,True
